match_id,ball_type,draw_bracket_value,draw_name,draw_team_type,tournament_name,date,score,winner_1_name,winner_1_gender,winner_1_third_party_id,winner_1_city,winner_1_country,winner_1_state,winner_2_name,winner_2_gender,winner_2_third_party_id,winner_2_city,winner_2_state,loser_1_name,loser_1_gender,loser_1_third_party_id,loser_1_city,loser_1_state,loser_1_country,loser_2_name,loser_2_gender,loser_2_third_party_id,loser_2_city,loser_2_state,outcome,id_type,draw_gender,draw_bracket_type,draw_type,tournament_city,tournament_state,tournament_country_code,tournament_host,tournament_location_type,tournament_surface,tournament_event_category,tournament_event_grade,tournament_import_source,tournament_sanction_body,winner_2_country,winner_2_college,loser_2_country,loser_2_college,tournament_event_type,winner_1_college,loser_1_college,tournament_url,winner_1_dob,winner_2_dob,loser_1_dob,loser_2_dob,tournament_country,tournament_start_date,tournament_end_date,winner_team,loser_team,team_score,winner_team_type,loser_team_type
,Yellow,,#6 Singles,Singles,Dual Match: Barry University vs Catawba College - Men,05/23/2026,"6-2, 5-7;","Alen, Bill",M,,,,,,,,,,"Dillon, Cooper",M,,,,,,,,,,Unfinished,,Male,,,,,USA,,,,,,College,College,,,,,Dual Match,Catawba College,Barry University,https://gobarrybucs.com/sports/mens-tennis/stats/2025-26/catawba/boxscore/15143,,,,,USA,05/23/2026,05/23/2026,Barry University,Catawba College,4-0;,College,College
,Yellow,,#1 Doubles,Doubles,Dual Match: Flagler College vs Barry University - Men,5/24/2026,6-3;,"Borlee, Ilian",M,,,,,"Malis, Simon",M,,,,"Trione, Riccardo",M,,,,,"Cavalleri, Simone",M,,,,Completed,,Male,,,,,USA,,,,,,College,College,,Flagler College,,Barry University,Dual Match,Flagler College,Barry University,https://flaglerathletics.com/sports/mens-tennis/stats/2025-26/barry-final-/boxscore/13636,,,,,USA,5/24/2026,5/24/2026,Flagler College,Barry University,4-3;,College,College
,Yellow,,#2 Doubles,Doubles,Dual Match: Flagler College vs Barry University - Men,5/24/2026,5-3;,"Kana, Filip",M,,,,,"El Rafie, Aly",M,,,,"Lynch, Adam",M,,,,,"Machado, Thomas",M,,,,Unfinished,,Male,,,,,USA,,,,,,College,College,,Flagler College,,Barry University,Dual Match,Flagler College,Barry University,https://flaglerathletics.com/sports/mens-tennis/stats/2025-26/barry-final-/boxscore/13636,,,,,USA,5/24/2026,5/24/2026,Flagler College,Barry University,4-3;,College,College
,Yellow,,#3 Doubles,Doubles,Dual Match: Flagler College vs Barry University - Men,5/24/2026,6-4;,"Rafiq, Aniss",M,,,,,"Hradilek, Oliver",M,,,,"Kodjoed, Yan",M,,,,,"Chapuis, Antonin",M,,,,Completed,,Male,,,,,USA,,,,,,College,College,,Flagler College,,Barry University,Dual Match,Flagler College,Barry University,https://flaglerathletics.com/sports/mens-tennis/stats/2025-26/barry-final-/boxscore/13636,,,,,USA,5/24/2026,5/24/2026,Flagler College,Barry University,4-3;,College,College
,Yellow,,#1 Singles,Singles,Dual Match: Flagler College vs Barry University - Men,5/24/2026,"6-7(2), 6-1, 6-3;","Malis, Simon",M,,,,,,,,,,"Trione, Riccardo",M,,,,,,,,,,Completed,,Male,,,,,USA,,,,,,College,College,,,,,Dual Match,Flagler College,Barry University,https://flaglerathletics.com/sports/mens-tennis/stats/2025-26/barry-final-/boxscore/13636,,,,,USA,5/24/2026,5/24/2026,Flagler College,Barry University,4-3;,College,College
,Yellow,,#2 Singles,Singles,Dual Match: Flagler College vs Barry University - Men,5/24/2026,"6-2, 6-1;","Rafiq, Aniss",M,,,,,,,,,,"Kodjoed, Yan",M,,,,,,,,,,Completed,,Male,,,,,USA,,,,,,College,College,,,,,Dual Match,Flagler College,Barry University,https://flaglerathletics.com/sports/mens-tennis/stats/2025-26/barry-final-/boxscore/13636,,,,,USA,5/24/2026,5/24/2026,Flagler College,Barry University,4-3;,College,College
,Yellow,,#3 Singles,Singles,Dual Match: Flagler College vs Barry University - Men,5/24/2026,"7-6(3), 6-1;","Lynch, Adam",M,,,,,,,,,,"Borlee, Ilian",M,,,,,,,,,,Completed,,Male,,,,,USA,,,,,,College,College,,,,,Dual Match,Barry University,Flagler College,https://flaglerathletics.com/sports/mens-tennis/stats/2025-26/barry-final-/boxscore/13636,,,,,USA,5/24/2026,5/24/2026,Flagler College,Barry University,4-3;,College,College
,Yellow,,#4 Singles,Singles,Dual Match: Flagler College vs Barry University - Men,5/24/2026,"6-2, 1-6, 7-6(3);","El Rafie, Aly",M,,,,,,,,,,"Machado, Thomas",M,,,,,,,,,,Completed,,Male,,,,,USA,,,,,,College,College,,,,,Dual Match,Flagler College,Barry University,https://flaglerathletics.com/sports/mens-tennis/stats/2025-26/barry-final-/boxscore/13636,,,,,USA,5/24/2026,5/24/2026,Flagler College,Barry University,4-3;,College,College
,Yellow,,#5 Singles,Singles,Dual Match: Flagler College vs Barry University - Men,5/24/2026,"2-6, 6-1, 6-0;","Azoulay, Elie",M,,,,,,,,,,"Kana, Filip",M,,,,,,,,,,Completed,,Male,,,,,USA,,,,,,College,College,,,,,Dual Match,Barry University,Flagler College,https://flaglerathletics.com/sports/mens-tennis/stats/2025-26/barry-final-/boxscore/13636,,,,,USA,5/24/2026,5/24/2026,Flagler College,Barry University,4-3;,College,College
,Yellow,,#6 Singles,Singles,Dual Match: Flagler College vs Barry University - Men,5/24/2026,"6-2, 7-5;","Dillon, Cooper",M,,,,,,,,,,"Hradilek, Oliver",M,,,,,,,,,,Completed,,Male,,,,,USA,,,,,,College,College,,,,,Dual Match,Barry University,Flagler College,https://flaglerathletics.com/sports/mens-tennis/stats/2025-26/barry-final-/boxscore/13636,,,,,USA,5/24/2026,5/24/2026,Flagler College,Barry University,4-3;,College,College
,Yellow,,#1 Doubles,Doubles,Dual Match: Flagler College vs University of West Florida - Men,5/23/2026,7-6(4);,"Duran, Diego",M,,,,,"Rondon, Sebastian",M,,,,"Borlee, Ilian",M,,,,,"Malis, Simon",M,,,,Completed,,Male,,,,,USA,,,,,,College,College,,University of West Florida,,Flagler College,Dual Match,University of West Florida,Flagler College,https://goargos.com/sports/mens-tennis/stats/2025-26/flagler/boxscore/10647,,,,,USA,5/23/2026,5/23/2026,Flagler College,University of West Florida,4-2;,College,College
,Yellow,,#2 Doubles,Doubles,Dual Match: Flagler College vs University of West Florida - Men,5/23/2026,7-5;,"Neyelov, Mark",M,,,,,"Quintela, Goncalo",M,,,,"El Rafie, Aly",M,,,,,"Kana, Filip",M,,,,Completed,,Male,,,,,USA,,,,,,College,College,,University of West Florida,,Flagler College,Dual Match,University of West Florida,Flagler College,https://goargos.com/sports/mens-tennis/stats/2025-26/flagler/boxscore/10647,,,,,USA,5/23/2026,5/23/2026,Flagler College,University of West Florida,4-2;,College,College
,Yellow,,#3 Doubles,Doubles,Dual Match: Flagler College vs University of West Florida - Men,5/23/2026,6-2;,"Rafiq, Aniss",M,,,,,"Hradilek, Oliver",M,,,,"Couto, Vicente",M,,,,,"Sabio, Rafael",M,,,,Completed,,Male,,,,,USA,,,,,,College,College,,Flagler College,,University of West Florida,Dual Match,Flagler College,University of West Florida,https://goargos.com/sports/mens-tennis/stats/2025-26/flagler/boxscore/10647,,,,,USA,5/23/2026,5/23/2026,Flagler College,University of West Florida,4-2;,College,College
,Yellow,,#1 Singles,Singles,Dual Match: Flagler College vs University of West Florida - Men,5/23/2026,"6-1, 6-4;","Malis, Simon",M,,,,,,,,,,"Rondon, Sebastian",M,,,,,,,,,,Completed,,Male,,,,,USA,,,,,,College,College,,,,,Dual Match,Flagler College,University of West Florida,https://goargos.com/sports/mens-tennis/stats/2025-26/flagler/boxscore/10647,,,,,USA,5/23/2026,5/23/2026,Flagler College,University of West Florida,4-2;,College,College
,Yellow,,#2 Singles,Singles,Dual Match: Flagler College vs University of West Florida - Men,5/23/2026,"3-6, 6-2, 6-3;","Rafiq, Aniss",M,,,,,,,,,,"Duran, Diego",M,,,,,,,,,,Completed,,Male,,,,,USA,,,,,,College,College,,,,,Dual Match,Flagler College,University of West Florida,https://goargos.com/sports/mens-tennis/stats/2025-26/flagler/boxscore/10647,,,,,USA,5/23/2026,5/23/2026,Flagler College,University of West Florida,4-2;,College,College
,Yellow,,#3 Singles,Singles,Dual Match: Flagler College vs University of West Florida - Men,5/23/2026,"6-3, 6-0;","Borlee, Ilian",M,,,,,,,,,,"Couto, Vicente",M,,,,,,,,,,Completed,,Male,,,,,USA,,,,,,College,College,,,,,Dual Match,Flagler College,University of West Florida,https://goargos.com/sports/mens-tennis/stats/2025-26/flagler/boxscore/10647,,,,,USA,5/23/2026,5/23/2026,Flagler College,University of West Florida,4-2;,College,College
,Yellow,,#4 Singles,Singles,Dual Match: Flagler College vs University of West Florida - Men,5/23/2026,"6-7(3), 6-1, 0-0;","El Rafie, Aly",M,,,,,,,,,,"Sabio, Rafael",M,,,,,,,,,,Unfinished,,Male,,,,,USA,,,,,,College,College,,,,,Dual Match,Flagler College,University of West Florida,https://goargos.com/sports/mens-tennis/stats/2025-26/flagler/boxscore/10647,,,,,USA,5/23/2026,5/23/2026,Flagler College,University of West Florida,4-2;,College,College
,Yellow,,#5 Singles,Singles,Dual Match: Flagler College vs University of West Florida - Men,5/23/2026,"6-2, 6-2;","Quintela, Goncalo",M,,,,,,,,,,"Kana, Filip",M,,,,,,,,,,Completed,,Male,,,,,USA,,,,,,College,College,,,,,Dual Match,University of West Florida,Flagler College,https://goargos.com/sports/mens-tennis/stats/2025-26/flagler/boxscore/10647,,,,,USA,5/23/2026,5/23/2026,Flagler College,University of West Florida,4-2;,College,College
,Yellow,,#6 Singles,Singles,Dual Match: Flagler College vs University of West Florida - Men,5/23/2026,"7-5, 6-0;","Hradilek, Oliver",M,,,,,,,,,,"Neyelov, Mark",M,,,,,,,,,,Completed,,Male,,,,,USA,,,,,,College,College,,,,,Dual Match,Flagler College,University of West Florida,https://goargos.com/sports/mens-tennis/stats/2025-26/flagler/boxscore/10647,,,,,USA,5/23/2026,5/23/2026,Flagler College,University of West Florida,4-2;,College,College
,Yellow,,#1 Doubles,Doubles,Dual Match: Valparaiso University vs Drake University - Women,04-18-26,6-4;,"Tanner, Lacey",F,,,,,"Popa, Alexandra",F,,,,"Dodik, Maja",F,,,,,"Dookie, Jordane",F,,,,Completed,,Female,,,,,USA,,,,,,College,College,,Valparaiso University,,Drake University,Dual Match,Valparaiso University,Drake University,https://valpoathletics.com/documents/2026/4/18/WTE_041826_DU.pdf,,,,,USA,04-18-26,04-18-26,Valparaiso University,Drake University,4-3;,College,College
,Yellow,,#2 Doubles,Doubles,Dual Match: Valparaiso University vs Drake University - Women,04-18-26,6-2;,"Silva, Moira",F,,,,,"Steven, Brynn",F,,,,"Takeda, Shiori",F,,,,,"Dejanovic, Milana",F,,,,Completed,,Female,,,,,USA,,,,,,College,College,,Valparaiso University,,Drake University,Dual Match,Valparaiso University,Drake University,https://valpoathletics.com/documents/2026/4/18/WTE_041826_DU.pdf,,,,,USA,04-18-26,04-18-26,Valparaiso University,Drake University,4-3;,College,College
,Yellow,,#1 Singles,Singles,Dual Match: Valparaiso University vs Drake University - Women,04-18-26,"6-3, 4-6, 6-1;","Dodik, Maja",F,,,,,,,,,,"Silva, Moira",F,,,,,,,,,,Completed,,Female,,,,,USA,,,,,,College,College,,,,,Dual Match,Drake University,Valparaiso University,https://valpoathletics.com/documents/2026/4/18/WTE_041826_DU.pdf,,,,,USA,04-18-26,04-18-26,Valparaiso University,Drake University,4-3;,College,College
,Yellow,,#2 Singles,Singles,Dual Match: Valparaiso University vs Drake University - Women,04-18-26,"6-2, 6-1;","Tai, Kristina",F,,,,,,,,,,"Popa, Alexandra",F,,,,,,,,,,Completed,,Female,,,,,USA,,,,,,College,College,,,,,Dual Match,Drake University,Valparaiso University,https://valpoathletics.com/documents/2026/4/18/WTE_041826_DU.pdf,,,,,USA,04-18-26,04-18-26,Valparaiso University,Drake University,4-3;,College,College
,Yellow,,#3 Singles,Singles,Dual Match: Valparaiso University vs Drake University - Women,04-18-26,"6-7(4), 7-5, 6-4;","Tanner, Lacey",F,,,,,,,,,,"Takeda, Shiori",F,,,,,,,,,,Completed,,Female,,,,,USA,,,,,,College,College,,,,,Dual Match,Valparaiso University,Drake University,https://valpoathletics.com/documents/2026/4/18/WTE_041826_DU.pdf,,,,,USA,04-18-26,04-18-26,Valparaiso University,Drake University,4-3;,College,College
,Yellow,,#4 Singles,Singles,Dual Match: Valparaiso University vs Drake University - Women,04-18-26,"6-3, 7-5;","Dookie, Jordane",F,,,,,,,,,,"Steven, Brynn",F,,,,,,,,,,Completed,,Female,,,,,USA,,,,,,College,College,,,,,Dual Match,Drake University,Valparaiso University,https://valpoathletics.com/documents/2026/4/18/WTE_041826_DU.pdf,,,,,USA,04-18-26,04-18-26,Valparaiso University,Drake University,4-3;,College,College
,Yellow,,#5 Singles,Singles,Dual Match: Valparaiso University vs Drake University - Women,04-18-26,"6-4, 2-6, 6-3;","Delgado, Andrea",F,,,,,,,,,,"Dejanovic, Milana",F,,,,,,,,,,Completed,,Female,,,,,USA,,,,,,College,College,,,,,Dual Match,Valparaiso University,Drake University,https://valpoathletics.com/documents/2026/4/18/WTE_041826_DU.pdf,,,,,USA,04-18-26,04-18-26,Valparaiso University,Drake University,4-3;,College,College
,Yellow,,#4 Singles,Singles,"Dual Match: Concordia University, Nebraska vs Hastings College - Men",2026-03-25,"6-1, 6-0;","Abadia, Santiago",M,,,,,,,,,,"Mins, Ethan",M,,,,,,,,,,Completed,,Male,,,,,USA,,,,,,College,College,,,,,Dual Match,"Concordia University, Nebraska",Hastings College,https://www.cune.edu/resources/docs/Athletics/mtennis26/stats/hccncm.htm,,,,,USA,2026-03-25,2026-03-25,"Concordia University, Nebraska",Hastings College,7-0;,College,College
,Yellow,,#5 Singles,Singles,"Dual Match: Concordia University, Nebraska vs Hastings College - Men",2026-03-25,"6-1, 7-5;","Bedrosian, Michael",M,,,,,,,,,,"Ingwerson, Aden",M,,,,,,,,,,Completed,,Male,,,,,USA,,,,,,College,College,,,,,Dual Match,"Concordia University, Nebraska",Hastings College,https://www.cune.edu/resources/docs/Athletics/mtennis26/stats/hccncm.htm,,,,,USA,2026-03-25,2026-03-25,"Concordia University, Nebraska",Hastings College,7-0;,College,College
,Yellow,,#6 Singles,Singles,"Dual Match: Concordia University, Nebraska vs Hastings College - Men",2026-03-25,"6-0, 6-0;","Melzer, Joseph",M,,,,,,,,,,"Watterson, Gavin",M,,,,,,,,,,Completed,,Male,,,,,USA,,,,,,College,College,,,,,Dual Match,"Concordia University, Nebraska",Hastings College,https://www.cune.edu/resources/docs/Athletics/mtennis26/stats/hccncm.htm,,,,,USA,2026-03-25,2026-03-25,"Concordia University, Nebraska",Hastings College,7-0;,College,College
,Yellow,,#1 Doubles,Doubles,Dual Match: Longwood University vs Charleston Southern University - Women,3/19/2026,6-2;,"SKEGRO, Marina",F,,,,,"FARRES, Carlota",F,,,,"Song, Bali",F,,,,,"Izarra, Oriana",F,,,,Completed,,Female,,,,,USA,,,,,,College,College,,Charleston Southern University,,Longwood University,Dual Match,Charleston Southern University,Longwood University,https://longwoodlancers.com/sports/womens-tennis/stats/2025-26/charleston-southern/boxscore/11338,,,,,USA,3/19/2026,3/19/2026,Longwood University,Charleston Southern University,4-2;,College,College
,Yellow,,#2 Doubles,Doubles,Dual Match: Longwood University vs Charleston Southern University - Women,3/19/2026,6-4;,"Magia, Alexandra",F,,,,,"van Eijkelenburg, Feline",F,,,,"BOTHA, Carle",F,,,,,"BOTHA, Amike",F,,,,Completed,,Female,,,,,USA,,,,,,College,College,,Longwood University,,Charleston Southern University,Dual Match,Longwood University,Charleston Southern University,https://longwoodlancers.com/sports/womens-tennis/stats/2025-26/charleston-southern/boxscore/11338,,,,,USA,3/19/2026,3/19/2026,Longwood University,Charleston Southern University,4-2;,College,College
,Yellow,,#3 Doubles,Doubles,Dual Match: Longwood University vs Charleston Southern University - Women,3/19/2026,6-4;,"Gnilozubova, Elizaveta",F,,,,,"Fernando, Hima",F,,,,"YORIS, Brenda",F,,,,,"MOLINA, Camila",F,,,,Completed,,Female,,,,,USA,,,,,,College,College,,Longwood University,,Charleston Southern University,Dual Match,Longwood University,Charleston Southern University,https://longwoodlancers.com/sports/womens-tennis/stats/2025-26/charleston-southern/boxscore/11338,,,,,USA,3/19/2026,3/19/2026,Longwood University,Charleston Southern University,4-2;,College,College
,Yellow,,#1 Singles,Singles,Dual Match: Longwood University vs Charleston Southern University - Women,3/19/2026,"6-0, 6-3;","SKEGRO, Marina",F,,,,,,,,,,"Song, Bali",F,,,,,,,,,,Completed,,Female,,,,,USA,,,,,,College,College,,,,,Dual Match,Charleston Southern University,Longwood University,https://longwoodlancers.com/sports/womens-tennis/stats/2025-26/charleston-southern/boxscore/11338,,,,,USA,3/19/2026,3/19/2026,Longwood University,Charleston Southern University,4-2;,College,College
,Yellow,,#2 Singles,Singles,Dual Match: Longwood University vs Charleston Southern University - Women,3/19/2026,"3-6, 6-0, 6-1;","Fernando, Hima",F,,,,,,,,,,"YORIS, Brenda",F,,,,,,,,,,Completed,,Female,,,,,USA,,,,,,College,College,,,,,Dual Match,Longwood University,Charleston Southern University,https://longwoodlancers.com/sports/womens-tennis/stats/2025-26/charleston-southern/boxscore/11338,,,,,USA,3/19/2026,3/19/2026,Longwood University,Charleston Southern University,4-2;,College,College
,Yellow,,#3 Singles,Singles,Dual Match: Longwood University vs Charleston Southern University - Women,3/19/2026,"2-6, 6-3, 6-4;","van Eijkelenburg, Feline",F,,,,,,,,,,"FARRES, Carlota",F,,,,,,,,,,Completed,,Female,,,,,USA,,,,,,College,College,,,,,Dual Match,Longwood University,Charleston Southern University,https://longwoodlancers.com/sports/womens-tennis/stats/2025-26/charleston-southern/boxscore/11338,,,,,USA,3/19/2026,3/19/2026,Longwood University,Charleston Southern University,4-2;,College,College
,Yellow,,#4 Singles,Singles,Dual Match: Longwood University vs Charleston Southern University - Women,3/19/2026,"4-6, 7-6(2), 1-3;","Izarra, Oriana",F,,,,,,,,,,"BOTHA, Carle",F,,,,,,,,,,Unfinished,,Female,,,,,USA,,,,,,College,College,,,,,Dual Match,Longwood University,Charleston Southern University,https://longwoodlancers.com/sports/womens-tennis/stats/2025-26/charleston-southern/boxscore/11338,,,,,USA,3/19/2026,3/19/2026,Longwood University,Charleston Southern University,4-2;,College,College
,Yellow,,#5 Singles,Singles,Dual Match: Longwood University vs Charleston Southern University - Women,3/19/2026,"6-1, 4-6, 6-1;","Magia, Alexandra",F,,,,,,,,,,"MOLINA, Camila",F,,,,,,,,,,Completed,,Female,,,,,USA,,,,,,College,College,,,,,Dual Match,Longwood University,Charleston Southern University,https://longwoodlancers.com/sports/womens-tennis/stats/2025-26/charleston-southern/boxscore/11338,,,,,USA,3/19/2026,3/19/2026,Longwood University,Charleston Southern University,4-2;,College,College
,Yellow,,#6 Singles,Singles,Dual Match: Longwood University vs Charleston Southern University - Women,3/19/2026,"7-6(2), 6-4;","BOTHA, Amike",F,,,,,,,,,,"Di Bisceglia, Nicole",F,,,,,,,,,,Completed,,Female,,,,,USA,,,,,,College,College,,,,,Dual Match,Charleston Southern University,Longwood University,https://longwoodlancers.com/sports/womens-tennis/stats/2025-26/charleston-southern/boxscore/11338,,,,,USA,3/19/2026,3/19/2026,Longwood University,Charleston Southern University,4-2;,College,College
,Yellow,,#1 Doubles,Doubles,Dual Match: Carnegie Mellon University vs Johns Hopkins University - Women,05/10/26,6-3;,"Li, Ava",F,,,,,"Wong, Kamila",F,,,,"Modak, Kotistha",F,,,,,"Kanumuri, Ika",F,,,,Completed,,Female,,,,,USA,,,,,,College,College,,Johns Hopkins University,,Carnegie Mellon University,Dual Match,Johns Hopkins University,Carnegie Mellon University,https://hopkinssports.com/sports/womens-tennis/stats/2025-26/carnegie-mellon/boxscore/25304,,,,,USA,05/10/26,05/10/26,Carnegie Mellon University,Johns Hopkins University,4-3;,College,College
,Yellow,,#2 Doubles,Doubles,Dual Match: Carnegie Mellon University vs Johns Hopkins University - Women,05/10/26,6-2;,"Melvin, Lia",F,,,,,"Kim, Sophia",F,,,,"Venkatarama, Divya",F,,,,,"Dolensek, Ancele",F,,,,Completed,,Female,,,,,USA,,,,,,College,College,,Johns Hopkins University,,Carnegie Mellon University,Dual Match,Johns Hopkins University,Carnegie Mellon University,https://hopkinssports.com/sports/womens-tennis/stats/2025-26/carnegie-mellon/boxscore/25304,,,,,USA,05/10/26,05/10/26,Carnegie Mellon University,Johns Hopkins University,4-3;,College,College
,Yellow,,#3 Doubles,Doubles,Dual Match: Rollins College vs New College of Florida - Women,04/16/2026,6-1;,"Abdulloeva, Amina",F,,,,,"Sallick, Annie",F,,,,"Sibrikova, Alexandra",F,,,,,"Streitova, Vanesa",F,,,,Completed,,Female,,,,,USA,,,,,,College,College,,Rollins College,,New College of Florida,Dual Match,Rollins College,New College of Florida,https://gomightybanyans.com/sports/womens-tennis/stats/2026/rollins-college/boxscore/838,,,,,USA,04/16/2026,04/16/2026,Rollins College,New College of Florida,7-0;,College,College
,Yellow,,#1 Singles,Singles,Dual Match: Rollins College vs New College of Florida - Women,04/16/2026,"6-1, 6-1;","Novoa, Alyssa",F,,,,,,,,,,"Chellas, Madeleine",F,,,,,,,,,,Completed,,Female,,,,,USA,,,,,,College,College,,,,,Dual Match,Rollins College,New College of Florida,https://gomightybanyans.com/sports/womens-tennis/stats/2026/rollins-college/boxscore/838,,,,,USA,04/16/2026,04/16/2026,Rollins College,New College of Florida,7-0;,College,College
